ITHACA CORNELL UNIV, NY - January 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Jan 1	44	26	-	35.0	10.8	0.41	Trace	-
Jan 2	45	28	-	36.5	12.4	Trace	Trace	-
Jan 3	28	7	-	17.5	-6.4	0.04	0.5	-
Jan 4	20	6	-	13.0	-10.8	0.00	0.0	-
Jan 5	26	15	-	20.5	-3.2	Trace	Trace	-
Jan 6	24	11	-	17.5	-6.1	0.08	1.0	-
Jan 7	23	11	-	17.0	-6.5	0.03	0.5	-
Jan 8	21	10	-	15.5	-7.9	0.04	1.0	-
Jan 9	25	9	-	17.0	-6.3	0.08	1.0	-
Jan 10	20	-6	-	7.0	-16.3	0.06	1.0	-
Jan 11	8	-6	-	1.0	-22.2	Trace	Trace	-
Jan 12	14	-1	-	6.5	-16.7	0.10	1.0	-
Jan 13	10	-2	-	4.0	-19.1	0.06	0.5	-
Jan 14	10	0	-	5.0	-18.1	0.06	0.5	-
Jan 15	9	3	-	6.0	-17.1	0.01	0.1	-
Jan 16	12	-10	-	1.0	-22.0	Trace	Trace	-
Jan 17	22	-12	-	5.0	-18.0	0.00	0.0	-
Jan 18	17	-3	-	7.0	-16.0	0.00	0.0	-
Jan 19	27	14	-	20.5	-2.5	0.01	0.1	-
Jan 20	20	14	-	17.0	-6.1	Trace	Trace	-
Jan 21	24	13	-	18.5	-4.6	0.03	0.4	-
Jan 22	30	3	-	16.5	-6.6	Trace	Trace	-
Jan 23	38	24	-	31.0	7.9	Trace	Trace	-
Jan 24	32	22	-	27.0	3.8	0.01	0.1	-
Jan 25	31	22	-	26.5	3.3	Trace	Trace	-
Jan 26	43	17	-	30.0	6.7	0.00	0.0	-
Jan 27	32	14	-	23.0	-0.3	Trace	Trace	-
Jan 28	32	14	-	23.0	-0.4	0.00	0.0	-
Jan 29	44	28	-	36.0	12.6	0.10	0.0	-
Jan 30	28	18	-	23.0	-0.5	0.10	1.0	-
Jan 31	26	18	-	22.0	-1.6	0.10	2.0	-
Sum	785	307	-	-	-	1.32	10.7	-
Average	25.3	9.9	-	17.6	-5.7	-	-	-
Normal	31.3	15.4	-	23.3	-	2.08	17.6	-
More information
ITHACA CORNELL UNIV, NY - February 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Feb 1	37	18	-	27.5	3.9	0.42	2.0	-
Feb 2	32	17	-	24.5	0.8	0.14	0.5	-
Feb 3	41	18	-	29.5	5.7	0.03	0.0	-
Feb 4	21	3	-	12.0	-11.9	Trace	Trace	-
Feb 5	21	1	-	11.0	-13.0	0.00	0.0	-
Feb 6	41	17	-	29.0	4.9	0.07	0.0	-
Feb 7	44	13	-	28.5	4.3	0.09	0.1	-
Feb 8	19	6	-	12.5	-11.8	Trace	Trace	-
Feb 9	33	5	-	19.0	-5.4	-	0.0	-
Feb 10	49	28	-	38.5	14.0	0.29	0.0	-
Feb 11	32	26	-	29.0	4.4	Trace	Trace	-
Feb 12	34	18	-	26.0	1.3	0.00	0.0	-
Feb 13	31	25	-	28.0	3.1	0.50	0.0	-
Feb 14	39	26	-	32.5	7.5	0.16	5.3	-
Feb 15	44	32	-	38.0	12.9	Trace	Trace	-
Feb 16	34	21	-	27.5	2.2	Trace	Trace	-
Feb 17	21	4	-	12.5	-12.9	0.10	0.0	-
Feb 18	21	12	-	16.5	-9.1	0.27	4.5	-
Feb 19	28	16	-	22.0	-3.7	0.02	0.2	-
Feb 20	22	-1	-	10.5	-15.4	0.06	0.6	-
Feb 21	23	4	-	13.5	-12.6	0.03	0.0	-
Feb 22	22	17	-	19.5	-6.8	-	-	-
Feb 23	29	19	-	24.0	-2.5	0.05	0.0	-
Feb 24	32	18	-	25.0	-1.7	0.07	2.0	-
Feb 25	33	10	-	21.5	-5.4	0.08	1.0	-
Feb 26	33	19	-	26.0	-1.1	0.00	0.0	-
Feb 27	35	1	-	18.0	-9.3	0.00	0.0	-
Feb 28	33	11	-	22.0	-5.5	0.03	0.0	-
Sum	884	404	-	-	-	2.41	16.2	-
Average	31.6	14.4	-	23	-2.3	-	-	-
Normal	34.0	16.5	-	25.3	-	1.98	14.2	-
More information
ITHACA CORNELL UNIV, NY - March 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Mar 1	38	25	-	31.5	3.7	0.00	-	-
Mar 2	34	21	-	27.5	-0.5	Trace	Trace	-
Mar 3	36	16	-	26.0	-2.2	Trace	Trace	-
Mar 4	32	12	-	22.0	-6.5	0.13	2.0	-
Mar 5	25	10	-	17.5	-11.3	Trace	Trace	-
Mar 6	36	19	-	27.5	-1.6	Trace	Trace	-
Mar 7	44	25	-	34.5	5.2	0.01	Trace	-
Mar 8	52	19	-	35.5	5.9	0.00	-	-
Mar 9	42	33	-	37.5	7.6	1.06	-	-
Mar 10	44	29	-	36.5	6.3	0.00	-	-
Mar 11	39	34	-	36.5	5.9	Trace	-	-
Mar 12	44	36	-	40.0	9.1	0.21	-	-
Mar 13	39	32	-	35.5	4.3	0.03	0.3	-
Mar 14	44	30	-	37.0	5.4	0.25	Trace	-
Mar 15	33	12	-	22.5	-9.4	0.02	Trace	-
Mar 16	23	10	-	16.5	-15.8	0.00	-	-
Mar 17	35	16	-	25.5	-7.1	0.00	-	-
Mar 18	26	15	-	20.5	-12.5	Trace	Trace	-
Mar 19	34	10	-	22.0	-11.4	0.00	-	-
Mar 20	46	26	-	36.0	2.2	0.00	-	-
Mar 21	49	-	-	-	-	0.07	-	-
Mar 22	-	18	-	-	-	0.30	4.0	-
Mar 23	35	19	-	27.0	-8.0	0.30	-	-
Mar 24	53	33	-	43.0	7.6	0.00	-	-
Mar 25	49	31	-	40.0	4.2	0.00	-	-
Mar 26	37	29	-	33.0	-3.2	0.05	Trace	-
Mar 27	41	21	-	31.0	-5.6	0.00	-	-
Mar 28	30	18	-	24.0	-13.0	0.00	-	-
Mar 29	43	13	-	28.0	-9.4	0.00	-	-
Mar 30	41	32	-	36.5	-1.4	0.06	-	-
Mar 31	50	32	-	41.0	2.7	0.00	-	-
Sum	1174	676	-	-	-	2.49	6.3	-
Average	39.1	22.5	-	30.7	-1.9	-	-	-
Normal	42.0	23.1	-	32.6	-	2.64	11.7	-
More information
ITHACA CORNELL UNIV, NY - April 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
Apr 1	61	40	-	50.5	11.8	0.01	0.0	-
Apr 2	45	27	-	36.0	-3.2	Trace	Trace	-
Apr 3	60	28	-	44.0	4.4	Trace	0.0	-
Apr 4	73	46	-	59.5	19.5	0.05	0.0	-
Apr 5	50	32	-	41.0	0.6	0.00	0.0	-
Apr 6	40	29	-	34.5	-6.4	0.29	3.0	-
Apr 7	37	28	-	32.5	-8.8	0.74	0.0	-
Apr 8	64	37	-	50.5	8.8	0.22	0.0	-
Apr 9	46	35	-	40.5	-1.6	0.00	0.0	-
Apr 10	43	32	-	37.5	-5.1	0.00	0.0	-
Apr 11	58	27	-	42.5	-0.5	0.00	0.0	-
Apr 12	48	43	-	45.5	2.1	0.04	0.0	-
Apr 13	75	44	-	59.5	15.7	0.10	0.0	-
Apr 14	55	31	-	43.0	-1.2	0.35	0.0	-
Apr 15	33	29	-	31.0	-13.6	0.45	Trace	-
Apr 16	47	27	-	37.0	-8.0	0.00	0.0	-
Apr 17	56	32	-	44.0	-1.4	0.15	0.0	-
Apr 18	50	32	-	41.0	-4.8	0.00	0.0	-
Apr 19	52	25	-	38.5	-7.7	0.00	0.0	-
Apr 20	38	33	-	35.5	-11.1	0.46	0.0	-
Apr 21	61	36	-	48.5	1.5	0.54	0.0	-
Apr 22	44	36	-	40.0	-7.4	0.03	Trace	-
Apr 23	46	36	-	41.0	-6.7	0.06	0.0	-
Apr 24	55	34	-	44.5	-3.6	0.00	0.0	-
Apr 25	47	33	-	40.0	-8.5	0.10	0.0	-
Apr 26	59	25	-	42.0	-6.8	0.00	0.0	-
Apr 27	55	37	-	46.0	-3.2	0.00	0.0	-
Apr 28	65	36	-	50.5	1.0	0.00	0.0	-
Apr 29	55	39	-	47.0	-2.9	Trace	0.0	-
Apr 30	62	39	-	50.5	0.3	0.20	0.0	-
Sum	1580	1008	-	-	-	3.79	3.0	-
Average	52.7	33.6	-	43.1	-1.6	-	-	-
Normal	55.5	33.9	-	44.7	-	3.29	3.4	-
More information
ITHACA CORNELL UNIV, NY - May 1893
Date	Maximum Temperature	Minimum Temperature	At Obs Temperature	Average Temperature	Avg Temperature Departure	Precipitation	Snowfall	Snow Depth
May 1	65	46	-	55.5	4.9	0.59	-	-
May 2	66	50	-	58.0	7.1	0.00	-	-
May 3	56	45	-	50.5	-0.8	0.32	-	-
May 4	45	40	-	42.5	-9.1	1.98	-	-
May 5	52	40	-	46.0	-5.9	0.17	-	-
May 6	52	42	-	47.0	-5.3	0.03	-	-
May 7	56	40	-	48.0	-4.6	0.00	-	-
May 8	67	34	-	50.5	-2.4	0.00	-	-
May 9	73	40	-	56.5	3.3	0.00	-	-
May 10	77	49	-	63.0	9.5	0.00	-	-
May 11	84	46	-	65.0	11.1	0.00	-	-
May 12	83	57	-	70.0	15.8	0.00	-	-
May 13	73	48	-	60.5	6.0	0.00	-	-
May 14	59	50	-	54.5	-0.3	0.19	-	-
May 15	77	52	-	64.5	9.4	0.18	-	-
May 16	61	54	-	57.5	2.0	1.30	-	-
May 17	54	46	-	50.0	-5.8	0.02	-	-
May 18	48	43	-	45.5	-10.6	0.14	-	-
May 19	56	36	-	46.0	-10.4	0.00	-	-
May 20	79	36	-	57.5	0.8	Trace	-	-
May 21	78	60	-	69.0	11.9	0.00	-	-
May 22	80	44	-	62.0	4.6	0.00	-	-
May 23	87	58	-	72.5	14.8	0.54	-	-
May 24	63	45	-	54.0	-4.0	0.00	-	-
May 25	80	46	-	63.0	4.7	Trace	-	-
May 26	57	38	-	47.5	-11.1	0.32	-	-
May 27	62	46	-	54.0	-5.0	0.26	-	-
May 28	62	47	-	54.5	-4.8	Trace	-	-
May 29	71	38	-	54.5	-5.1	Trace	-	-
